keeper_rank,source_rank,player,team,pos,pos_rank,source_date
1,1,Bijan Robinson,ATL,RB,RB1,2026-06-04
2,2,Jahmyr Gibbs,DET,RB,RB2,2026-06-04
3,3,Christian McCaffrey,SF,RB,RB3,2026-06-04
4,7,De'Von Achane,MIA,RB,RB4,2026-06-04
5,4,Ja'Marr Chase,CIN,WR,WR1,2026-06-04
6,5,Jaxon Smith-Njigba,SEA,WR,WR2,2026-06-04
7,6,Puka Nacua,LAR,WR,WR3,2026-06-04
8,8,Jonathan Taylor,IND,RB,RB5,2026-06-04
9,9,Amon-Ra St. Brown,DET,WR,WR4,2026-06-04
10,10,James Cook III,BUF,RB,RB6,2026-06-04
11,11,Josh Jacobs,GB,RB,RB7,2026-06-04
12,12,Justin Jefferson,MIN,WR,WR5,2026-06-04
13,13,CeeDee Lamb,DAL,WR,WR6,2026-06-04
14,14,Derrick Henry,BAL,RB,RB8,2026-06-04
15,15,Chase Brown,CIN,RB,RB9,2026-06-04
16,16,Trey McBride,ARI,TE,TE1,2026-06-04
17,17,Drake London,ATL,WR,WR7,2026-06-04
18,18,Brock Bowers,LV,TE,TE2,2026-06-04
19,19,Rashee Rice,KC,WR,WR8,2026-06-04
20,20,Jeremiyah Love,ARI,RB,RB10,2026-06-04
21,21,Ashton Jeanty,LV,RB,RB11,2026-06-04
22,22,Saquon Barkley,PHI,RB,RB12,2026-06-04
23,23,Chris Olave,NO,WR,WR9,2026-06-04
24,24,George Pickens,DAL,WR,WR10,2026-06-04
25,25,A.J. Brown,NE,WR,WR11,2026-06-04
26,26,Josh Allen,BUF,QB,QB1,2026-06-04
27,27,Omarion Hampton,LAC,RB,RB13,2026-06-04
28,28,Malik Nabers,NYG,WR,WR12,2026-06-04
29,29,Kenneth Walker III,KC,RB,RB14,2026-06-04
30,30,Javonte Williams,DAL,RB,RB15,2026-06-04
31,31,Lamar Jackson,BAL,QB,QB2,2026-06-04
32,32,Breece Hall,NYJ,RB,RB16,2026-06-04
33,33,Travis Etienne Jr.,NO,RB,RB17,2026-06-04
34,34,Garrett Wilson,NYJ,WR,WR13,2026-06-04
35,35,Nico Collins,HOU,WR,WR14,2026-06-04
36,36,Kyren Williams,LAR,RB,RB18,2026-06-04
37,37,Cam Skattebo,NYG,RB,RB19,2026-06-04
38,38,DeVonta Smith,PHI,WR,WR15,2026-06-04
39,39,Jayden Daniels,WSH,QB,QB3,2026-06-04
40,40,Jaylen Waddle,DEN,WR,WR16,2026-06-04
41,41,Davante Adams,LAR,WR,WR17,2026-06-04
42,42,Rome Odunze,CHI,WR,WR18,2026-06-04
43,43,Zay Flowers,BAL,WR,WR19,2026-06-04
44,44,Quinshon Judkins,CLE,RB,RB20,2026-06-04
45,45,Bucky Irving,TB,RB,RB21,2026-06-04
46,46,Drake Maye,NE,QB,QB4,2026-06-04
47,47,Chuba Hubbard,CAR,RB,RB22,2026-06-04
48,48,Harold Fannin Jr.,CLE,TE,TE3,2026-06-04
49,49,Tyler Warren,IND,TE,TE4,2026-06-04
50,50,Emeka Egbuka,TB,WR,WR20,2026-06-04
51,51,Tetairoa McMillan,CAR,WR,WR21,2026-06-04
52,52,Jalen Hurts,PHI,QB,QB5,2026-06-04
53,53,Colston Loveland,CHI,TE,TE5,2026-06-04
54,54,D'Andre Swift,CHI,RB,RB23,2026-06-04
55,55,Jadarian Price,SEA,RB,RB24,2026-06-04
56,56,David Montgomery,HOU,RB,RB25,2026-06-04
57,57,Tee Higgins,CIN,WR,WR22,2026-06-04
58,58,Kyle Pitts Sr.,ATL,TE,TE6,2026-06-04
59,59,Jaxson Dart,NYG,QB,QB6,2026-06-04
60,60,DK Metcalf,PIT,WR,WR23,2026-06-04
61,61,Terry McLaurin,WSH,WR,WR24,2026-06-04
62,62,Bhayshul Tuten,JAX,RB,RB26,2026-06-04
63,63,Tony Pollard,TEN,RB,RB27,2026-06-04
64,64,George Kittle,SF,TE,TE7,2026-06-04
65,65,Aaron Jones Sr.,MIN,RB,RB28,2026-06-04
66,66,Rhamondre Stevenson,NE,RB,RB29,2026-06-04
67,67,Ladd McConkey,LAC,WR,WR25,2026-06-04
68,68,DJ Moore,BUF,WR,WR26,2026-06-04
69,69,TreVeyon Henderson,NE,RB,RB30,2026-06-04
70,70,Patrick Mahomes,KC,QB,QB7,2026-06-04
71,71,Kenneth Gainwell,TB,RB,RB31,2026-06-04
72,72,Wan'Dale Robinson,TEN,WR,WR27,2026-06-04
73,73,Joe Burrow,CIN,QB,QB8,2026-06-04
74,74,Marvin Harrison Jr.,ARI,WR,WR28,2026-06-04
75,75,Trevor Lawrence,JAX,QB,QB9,2026-06-04
76,76,Jameson Williams,DET,WR,WR29,2026-06-04
77,77,Carnell Tate,TEN,WR,WR30,2026-06-04
78,78,Courtland Sutton,DEN,WR,WR31,2026-06-04
79,79,Christian Watson,GB,WR,WR32,2026-06-04
80,80,Michael Pittman Jr.,PIT,WR,WR33,2026-06-04
81,81,Jaylen Warren,PIT,RB,RB32,2026-06-04
82,82,Sam LaPorta,DET,TE,TE8,2026-06-04
83,83,Rachaad White,WSH,RB,RB33,2026-06-04
84,84,Luther Burden III,CHI,WR,WR34,2026-06-04
85,85,Michael Wilson,ARI,WR,WR35,2026-06-04
86,86,Jakobi Meyers,JAX,WR,WR36,2026-06-04
87,87,Jordyn Tyson,NO,WR,WR37,2026-06-04
88,88,Tucker Kraft,GB,TE,TE9,2026-06-04
89,89,Justin Herbert,LAC,QB,QB10,2026-06-04
90,90,Brock Purdy,SF,QB,QB11,2026-06-04
91,91,Chris Godwin Jr.,TB,WR,WR38,2026-06-04
92,92,Jake Ferguson,DAL,TE,TE10,2026-06-04
93,93,Matthew Golden,GB,WR,WR39,2026-06-04
94,94,Dallas Goedert,PHI,TE,TE11,2026-06-04
95,95,J.K. Dobbins,DEN,RB,RB34,2026-06-04
96,96,Bo Nix,DEN,QB,QB12,2026-06-04
97,97,Dak Prescott,DAL,QB,QB13,2026-06-04
98,98,Matthew Stafford,LAR,QB,QB14,2026-06-04
99,99,Travis Kelce,KC,TE,TE12,2026-06-04
100,100,RJ Harvey,DEN,RB,RB35,2026-06-04
