keeper_rank,source_rank,player,team,pos,pos_rank,player_id,player_page_url,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_ave,rank_min,rank_max,rank_std,tier,source_date
1,1,Ja'Marr Chase,CIN,WR,WR1,19788,https://www.fantasypros.com/nfl/players/jamarr-chase.php,6,99.4,99.8,100,,1.66,1,4,1.06,1,2026-07-17
2,2,Puka Nacua,LAR,WR,WR2,23180,https://www.fantasypros.com/nfl/players/puka-nacua.php,11,99.5,99.8,100,,3.14,1,8,1.36,1,2026-07-17
3,3,Bijan Robinson,ATL,RB,RB1,23133,https://www.fantasypros.com/nfl/players/bijan-robinson.php,11,99.4,99.8,100,,3.23,1,10,1.69,1,2026-07-17
4,4,Jahmyr Gibbs,DET,RB,RB2,22968,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php,6,99.3,99.8,100,,3.84,1,7,1.71,1,2026-07-17
5,5,Jaxon Smith-Njigba,SEA,WR,WR3,23070,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php,11,99.6,99.8,100,,4.15,1,8,1.17,1,2026-07-17
6,6,Amon-Ra St. Brown,DET,WR,WR4,19799,https://www.fantasypros.com/nfl/players/amonra-stbrown.php,6,99.4,99.8,100,,6.10,4,9,1.36,2,2026-07-17
7,7,CeeDee Lamb,DAL,WR,WR5,19202,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,14,99.4,99.8,100,,8.77,6,16,1.91,2,2026-07-17
8,8,Christian McCaffrey,SF,RB,RB3,16393,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php,8,99.5,99.8,100,,9.00,2,23,4.25,2,2026-07-17
9,9,Justin Jefferson,MIN,WR,WR6,19236,https://www.fantasypros.com/nfl/players/justin-jefferson.php,6,99.3,99.7,100,,9.14,4,20,2.39,2,2026-07-17
10,10,Jonathan Taylor,IND,RB,RB4,19217,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,13,99.3,99.7,100,,11.25,5,33,4.81,2,2026-07-17
11,11,Drake London,ATL,WR,WR7,23163,https://www.fantasypros.com/nfl/players/drake-london.php,11,99.2,99.5,100,,12.16,8,19,2.72,2,2026-07-17
12,12,Nico Collins,HOU,WR,WR8,20130,https://www.fantasypros.com/nfl/players/nico-collins.php,8,99.3,99.5,100,,15.01,9,34,3.70,3,2026-07-17
13,13,A.J. Brown,NE,WR,WR9,18218,https://www.fantasypros.com/nfl/players/aj-brown.php,11,98.9,99.3,99,,15.42,8,35,5.46,3,2026-07-17
14,14,Ashton Jeanty,LV,RB,RB5,25989,https://www.fantasypros.com/nfl/players/ashton-jeanty.php,13,99.2,99.6,100,,16.44,7,31,5.72,3,2026-07-17
15,15,George Pickens,DAL,WR,WR10,22963,https://www.fantasypros.com/nfl/players/george-pickens.php,14,99.2,99.6,100,,18.23,12,35,4.14,3,2026-07-17
16,16,Trey McBride,ARI,TE,TE1,22936,https://www.fantasypros.com/nfl/players/trey-mcbride.php,14,99.2,99.7,100,,18.38,16,66,6.96,3,2026-07-17
17,17,De'Von Achane,MIA,RB,RB6,23136,https://www.fantasypros.com/nfl/players/devon-achane.php,6,99.2,99.7,100,,18.82,5,39,6.92,3,2026-07-17
18,18,James Cook III,BUF,RB,RB7,22958,https://www.fantasypros.com/nfl/players/james-cook.php,7,99.5,99.7,100,,19.25,7,34,7.07,3,2026-07-17
19,19,Chris Olave,NO,WR,WR11,20111,https://www.fantasypros.com/nfl/players/chris-olave.php,8,98.1,98.4,99,,19.96,11,48,6.87,3,2026-07-17
20,20,Chase Brown,CIN,RB,RB8,25324,https://www.fantasypros.com/nfl/players/chase-brown.php,6,98.6,98.5,100,,20.64,10,37,5.21,3,2026-07-17
21,21,Brock Bowers,LV,TE,TE2,22955,https://www.fantasypros.com/nfl/players/brock-bowers.php,13,99.3,99.7,100,,20.99,12,32,2.83,3,2026-07-17
22,22,Rashee Rice,KC,WR,WR12,23113,https://www.fantasypros.com/nfl/players/rashee-rice.php,5,98.1,98.8,99,,22.30,11,45,8.79,3,2026-07-17
23,23,Josh Allen,BUF,QB,QB1,17298,https://www.fantasypros.com/nfl/players/josh-allen-qb.php,7,99.5,99.8,100,,25.19,21,31,1.17,4,2026-07-17
24,24,Omarion Hampton,LAC,RB,RB9,25395,https://www.fantasypros.com/nfl/players/omarion-hampton.php,7,98.8,98.9,100,,25.52,10,53,8.03,4,2026-07-17
25,25,DeVonta Smith,PHI,WR,WR13,19222,https://www.fantasypros.com/nfl/players/devonta-smith.php,10,98.1,98.7,99,,25.85,11,52,8.70,4,2026-07-17
26,26,Saquon Barkley,PHI,RB,RB10,17240,https://www.fantasypros.com/nfl/players/saquon-barkley.php,10,99.4,99.6,100,,26.96,10,46,7.27,4,2026-07-17
27,27,Tetairoa McMillan,CAR,WR,WR14,25417,https://www.fantasypros.com/nfl/players/tetairoa-mcmillan.php,5,98.2,98.2,99,,29.53,15,51,8.52,4,2026-07-17
28,28,Garrett Wilson,NYJ,WR,WR15,23072,https://www.fantasypros.com/nfl/players/garrett-wilson.php,13,97.6,98.2,98,,29.74,15,49,6.38,4,2026-07-17
29,29,Kenneth Walker III,KC,RB,RB11,23021,https://www.fantasypros.com/nfl/players/kenneth-walker-rb.php,5,99.3,99.3,100,,32.07,16,65,8.92,4,2026-07-17
30,30,Zay Flowers,BAL,WR,WR16,22916,https://www.fantasypros.com/nfl/players/zay-flowers.php,13,97.1,98,97,,32.38,11,49,9.10,4,2026-07-17
31,31,Tee Higgins,CIN,WR,WR17,19211,https://www.fantasypros.com/nfl/players/tee-higgins.php,6,97.7,97.1,99,,32.55,18,48,7.47,4,2026-07-17
