keeper_rank,source_rank,player,team,pos,pos_rank,pointsPpr,player_id,player_page_url,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_ave,rank_min,rank_max,rank_std,tier,projectionPassYds,projectionPassTds,projectionRushAtt,projectionRushYds,projectionRushTds,projectionRecRec,projectionRecYds,projectionRecTds,projectionFga,projectionFg,projectionXpt,projectionDefSack,projectionDefInt,projectionDefTd,projectionDefSafety,projectionDefFf,projectionDefFr,projectionDefRetd,source_date
1,1,Ja'Marr Chase,CIN,WR,WR1,335.99,19788,https://www.fantasypros.com/nfl/players/jamarr-chase.php,6,99.8,99.9,100,,1.44,1,4,0.85,1,,,,,,121.23,1511.23,10.6,,,,,,,,,,,2026-08-30
2,2,Jahmyr Gibbs,DET,RB,RB1,373.01,22968,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php,6,99.5,99.9,100,,2.44,1,5,1.23,1,,,274.69,1382.53,13.82,71.26,580.97,4.13,,,,,,,,,,,2026-08-30
3,3,Puka Nacua,LAR,WR,WR2,339.8,23180,https://www.fantasypros.com/nfl/players/puka-nacua.php,11,99.7,99.9,100,,3.25,1,9,1.26,1,,,,,,117,1539,9,,,,,,,,,,,2026-08-30
4,4,Bijan Robinson,ATL,RB,RB2,357.01,23133,https://www.fantasypros.com/nfl/players/bijan-robinson.php,11,99.4,99.9,100,,4.22,2,7,1.37,1,,,285.17,1392.12,8.81,77.26,705.21,3.46,,,,,,,,,,,2026-08-30
5,5,Jaxon Smith-Njigba,SEA,WR,WR3,326.21,23070,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php,11,99.7,99.9,100,,4.68,3,8,1.25,1,,,,,,110.91,1570.02,9.51,,,,,,,,,,,2026-08-30
6,6,Amon-Ra St. Brown,DET,WR,WR4,319.84,19799,https://www.fantasypros.com/nfl/players/amonra-stbrown.php,6,99.8,99.9,100,,5.41,3,9,1.27,1,,,,,,117.37,1390.88,10.46,,,,,,,,,,,2026-08-30
7,7,CeeDee Lamb,DAL,WR,WR5,273.01,19202,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,14,99.5,99.9,100,,8.87,6,16,1.83,2,,,,,,97.47,1295.61,7.53,,,,,,,,,,,2026-08-30
8,8,Justin Jefferson,MIN,WR,WR6,272.82,19236,https://www.fantasypros.com/nfl/players/justin-jefferson.php,6,99.4,99.8,100,,9.32,4,28,2.68,2,,,,,,98.91,1310.88,7.12,,,,,,,,,,,2026-08-30
9,9,Christian McCaffrey,SF,RB,RB3,334.63,16393,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php,8,99.6,99.9,100,,9.38,5,23,4.31,2,,,269.73,1094.64,8.72,78.36,691.85,4.58,,,,,,,,,,,2026-08-30
10,10,Jonathan Taylor,IND,RB,RB4,310.14,19217,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,13,99.4,99.9,100,,11.81,7,33,5.17,2,,,326.62,1504.59,12.86,42.89,341.46,1.49,,,,,,,,,,,2026-08-30
11,11,Drake London,ATL,WR,WR7,276.29,23163,https://www.fantasypros.com/nfl/players/drake-london.php,11,99.2,99.7,100,,13.01,9,26,3.59,2,,,,,,98.37,1272.88,8.76,,,,,,,,,,,2026-08-30
12,12,A.J. Brown,NE,WR,WR8,256.23,18218,https://www.fantasypros.com/nfl/players/aj-brown.php,11,99.4,99.6,100,,13.72,6,35,4.99,2,,,,,,87.58,1231.98,7.67,,,,,,,,,,,2026-08-30
13,13,Nico Collins,HOU,WR,WR9,247.92,20130,https://www.fantasypros.com/nfl/players/nico-collins.php,8,99.7,99.6,100,,15.91,9,28,3.79,3,,,,,,82.51,1207.15,7.23,,,,,,,,,,,2026-08-30
